Unnamed: 0,Brand,Price,Processor_Name,RAM_Expandable,RAM,RAM_TYPE,Ghz,Display_type,Display,GPU,SSD,HDD,Adapter,Battery_Life,Battery_Life_num
0,HP,22990.0,MediaTek Octa-core,Not Expandable,4 GB , DDR4 RAM,0.36363636363636365,LED,11.6 ,Integrated Graphics,64 GB SSD Storage,No HDD,0.13636363636363635, Upto 12 Hrs Battery Life,12.0
1,Lenovo,36289.0,AMD Hexa-Core Ryzen 5, 12 GB Expandable,8 GB , DDR4 RAM ,0.7272727272727273,LCD,15.6 ,Radeon,512 GB SSD Storage,No HDD,0.19696969696969696, Upto 11 Hrs Battery Life,11.0
3,Dell,78500.0,Intel Core i5 (12th Gen), 32 GB Expandable,16 GB , DDR5 RAM ,0.6,LCD,15.6 ,"GeForce RTX 3050 GPU, 4 GB",512 GB SSD Storage,No HDD,0.1696969696969697, Upto 10 Hrs Battery Life,10.0
4,HP,55490.0,Intel Core i5 (12th Gen), 8 GB Expandable,8 GB , DDR4 RAM ,0.7636363636363637,LCD,15.6 ,Iris Xe,512 GB SSD Storage,No HDD,0.0,Upto 7.30 Hrs Battery Life,7.3
6,Infinix,21990.0,Intel Core i3 (11th Gen),Not Expandable,8 GB LP, LPDDR4X RAM,0.3090909090909091,LCD,15.6 ,UHD,512 GB SSD Storage,No HDD,0.13636363636363635, Upto 8 Hrs Battery Life,8.0
8,HP,49599.0,AMD Hexa-Core Ryzen 5, 16 GB Expandable,8 GB , DDR4 RAM ,0.7272727272727273,LCD,14 ,Radeon,512 GB SSD Storage,No HDD,0.19696969696969696, Upto 9 Hrs Battery Life,9.0
12,Lenovo,92990.0,AMD Octa-Core Ryzen 7, 16 GB Expandable,16 GB , DDR5 RAM ,0.6181818181818182,LCD,15.6 ,"GeForce RTX 4050 GPU, 6 GB",512 GB SSD Storage,No HDD,0.5151515151515151, Upto 9.5 Hrs Battery Life,9.5
14,HP,31490.0,AMD Dual-Core Ryzen 3,Not Expandable,8 GB , DDR4 RAM,0.4727272727272727,LCD,15.6 ,Radeon,512 GB SSD Storage,No HDD,0.19696969696969696, Upto 7 Hrs Battery Life,7.0
16,HP,44999.0,Intel Core i3 (11th Gen), 8 GB Expandable,8 GB , DDR4 RAM ,0.3090909090909091,LCD,14 ,UHD,512 GB SSD Storage,No HDD,0.19696969696969696, Upto 9.45 Hrs Battery Life,9.45
18,Dell,52800.0,Intel Core i5 (12th Gen), 16 GB Expandable,8 GB , DDR4 RAM ,0.6,LCD,14 ,Iris Xe,512 GB SSD Storage,No HDD,0.0,Upto 7 Hrs Battery Life,7.0
19,ASUS,36990.0,Intel Core i3 (11th Gen), 12 GB Expandable,8 GB , DDR4 RAM ,0.5454545454545454,LCD,14 ,UHD,512 GB SSD Storage,No HDD,0.19696969696969696, Upto 6 Hrs Battery Life,6.0
